Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Sector,Full Name,ACTIVE,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE,BOURSE NAME
TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,1994,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Taiwan Semiconductor Manufacturing,1,140406,T2330,TW0002330008,Taiwan
TAIWAN MOBILE,TW:TCE,2000/9/19,2000,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Mobile Telecommunications,Taiwan Mobile,1,264789,T3045,TW0003045001,Taiwan
TAIWAN ARTCCI,TW:WAC,2016/5/16,2016,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,General Retailers,Taiwan Artcci,1,7404ZP,T8479,TW0008479007,Taiwan OTC
TAIWAN COOP.FINL.HLDG.,TW:TBC,2004/11/17,2004,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Banks,Taiwan Cooperative Financial Holding,1,29689J,T5880,TW0005880009,Taiwan
SYNEURX INTERNATIONAL (TAIWAN),TW:SNU,2016/1/29,2016,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Syneurx International (Taiwan),1,8866EW,T6575,TW0006575004,Taiwan OTC
TAIWAN CEMENT,TW:TCM,1987/9/9,1987,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Construction and Materials,Taiwan Cement,1,756125,T1101,TW0001101004,Taiwan
TAIWAN ENV.SCIEN.,TW:EVS,2015/7/6,2015,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Support Services,Taiwan Environmental Scientific,1,9748XG,T8476,TW0008476003,Taiwan OTC
TAIWAN HIGH SPEED RAIL,TW:THZ,2003/9/8,2003,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Construction and Materials,Taiwan High Speed Rail,1,30384F,T2633,TW0002633005,Taiwan
TAIWAN LEADER BIOTECH,TW:LDB,2016/1/14,2016,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Taiwan Leader Biotechnology,1,8839TW,T8490,TW0008490004,Taiwan OTC
TAIWAN NAME PLATE,TW:TPL,2016/9/29,2016,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,Taiwan Name Plate,1,2605HU,T6593,TW0006593007,Taiwan OTC
TAIWAN STEEL UNION,TW:TSU,2016/9/9,2016,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Chemicals,Taiwan Steel Union,1,2566EC,T6581,TW0006581002,Taiwan OTC
TAIWAN BIOMATERIAL,TW:TB1,2017/8/29,2017,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Health Care Equipment and Services,Taiwan Biomaterial,1,9128PW,T6649,TW0006649007,Taiwan OTC
TAIWAN BUSINESS BANK,TW:TWB,1998/1/5,1998,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Banks,Taiwan Business Bank,1,879381,T2834,TW0002834009,Taiwan
TAIWAN GLASS IND.,TW:TGL,1987/9/8,1987,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Construction and Materials,Taiwan Glass Industry,1,756126,T1802,TW0001802007,Taiwan
TAIWAN SEMICONDUCTOR,TW:TCY,2000/2/21,2000,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Technology Hardware and Equipment,Taiwan Semiconductor,1,280263,T5425,TW0005425003,Taiwan OTC
ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,2004,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Electronic and Electrical Equipment,ABC Taiwan Electronics,1,29740V,T3236,TW0003236006,Taiwan OTC
ABNOVA (TAIWAN),TW:ABN,2009/12/28,2009,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Abnova (Taiwan),1,53812P,T4133,TW0004133004,Taiwan
CSBC TAIWAN,TW:CAN,2008/12/22,2008,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Industrial Engineering,CSBC Taiwan,1,54472K,T2208,TW0002208006,Taiwan
DELTAMAC (TAIWAN),TW:DTC,2002/1/23,2002,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Media,Deltamac (Taiwan),1,15130Q,T6144,TW0006144009,Taiwan OTC
DIMERCO EXPRESS (TAIWAN),TW:DEC,2001/10/15,2001,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Industrial Transportation,Dimerco Express (Taiwan),1,14691R,T5609,TW0005609002,Taiwan OTC
LASER TEK TAIWAN,TW:LTT,2002/12/23,2002,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,General Industrials,Laser Tek Taiwan,1,26630R,T6207,TW0006207004,Taiwan OTC
POLYLITE TAIWAN,TW:PLY,2009/8/4,2009,Equities,Taiwan OTC,Taiwan,Taiwanese Dollar,Equity,Health Care Equipment and Services,Polylite Taiwan,1,51595H,T1813,TW0001813004,Taiwan OTC
SCINOPHARM TAIWAN,TW:SPZ,2010/10/29,2010,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Pharmaceuticals and Biotechnology,Scinopharm Taiwan,1,756989,T1789,TW0001789006,Taiwan
TAIWAN ACCEPTANCE,TW:TWT,1999/12/6,1999,Equities,Taiwan,Taiwan,Taiwanese Dollar,Equity,Financial Services (Sector),Taiwan Acceptance,1,280065,T9941,TW0009941005,Taiwan
