Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE,BOURSE NAME
HING MING HOLDINGS,K:HGMG,2017/3/15,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Hing Ming Holdings,Active,9048Z5,HK8425,KYG459051093,Hong Kong
HOLLY FUTURES 'H',K:HLFT,2015/12/30,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Holly Futures 'H',Active,8830LK,HK3678,CNE1000023S4,Hong Kong
HOPEWELL HGHWY.INFR.,K:HOWL,2003/8/6,2003,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,Hopewell Highway Infrastructure,Active,27337M,HK737,KYG459951003,Hong Kong
HOPSON DEVELOPMENT HDG.,K:HOPS,1998/5/27,1998,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Hopson Development Holdings,Active,675439,HK754,BMG4600H1016,Hong Kong
HUARONG INV.STK.,K:CHUY,2014/12/29,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Huarong Investment Stock,Active,9236X1,HK2277,KYG4642V1005,Hong Kong
HUAZHANG TECHNOLOGY HDG.,K:HTHL,2013/5/16,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Engineering,Huazhang Technology Holdings,Active,88520M,HK1673,KYG464201162,Hong Kong
HUMAN HEALTH HDG.,K:HHHL,2016/4/1,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Health Care Equipment and Services,Human Health Holdings,Active,7018K6,HK1419,KYG4644Q1091,Hong Kong
I CONTROL HOLDINGS,K:ICON,2015/5/27,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Software and Computer Services,I Control Holdings,Active,9514NM,HK8355,KYG4708D1016,Hong Kong
I-CABLE COMMS.,K:ICAB,1999/11/24,1999,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,I-Cable Communications,Active,691950,HK1097,HK1097008929,Hong Kong
IBI GROUP HOLDINGS,K:IBGH,2016/10/14,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,IBI Group Holdings,Active,2622VJ,HK1547,KYG469041019,Hong Kong
IGG,K:ICGI,2013/10/18,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Leisure Goods,IGG,Active,92104A,HK799,KYG6771K1022,Hong Kong
IN CONSTRUCTION HOLDINGS,K:INCO,2015/4/16,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Household Goods and Home Construction,In Construction Holdings,Active,9403UA,HK1500,KYG4752Q1073,Hong Kong
IT,K:ITLD,2005/3/4,2005,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,IT,Active,30410D,HK999,BMG4977W1038,Hong Kong
JETE POWER HOLDINGS,K:JETE,2015/4/30,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Engineering,Jete Power Holdings,Active,94544M,HK8133,KYG511391149,Hong Kong
JIYI HOUSEHOLD INTL.HDG.,K:JIYI,2015/11/6,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,Jiyi Household International Holdings,Active,8699Z2,HK1495,KYG5139R1065,Hong Kong
JOY CITY PROPERTY,K:MINR,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Joy City Property,Active,779592,HK207,BMG5210S1061,Hong Kong
KEEN OCEAN INTL.HDG.,K:KEEN,2016/2/24,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Keen Ocean International Holdings,Active,8933Y4,HK8070,KYG5244B1032,Hong Kong
KERRY LOGISTICS NETWORK,K:KLNT,2013/12/19,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,Kerry Logistics Network,Active,93650J,HK636,BMG524181036,Hong Kong
KH GROUP HOLDINGS,K:KHGH,2016/3/18,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,KH Group Holdings,Active,7003KJ,HK1557,NA,Hong Kong
KIDSLAND INTERNATIONAL HOLDINGS,K:KIHT,2017/11/10,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Leisure Goods,Kidsland International Holdings,Active,9211Q1,HK2122,KYG5259R1002,Hong Kong
KML TECHNOLOGY GROUP,K:KMLT,2017/10/16,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,KML Technology Group,Active,9163NZ,HK8065,KYG5S00R1029,Hong Kong
KPA-BM HOLDINGS,K:KPAB,2015/10/8,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,KPA-BM Holdings,Active,8662KX,HK2663,NA,Hong Kong
KTL INTERNATIONAL HDG. GP.,K:KTLH,2015/3/11,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,KTL International Holdings Group,Active,9336DK,HK442,KYG4488W1050,Hong Kong
KUANGCHI SCIENCE,K:CLMX,1992/3/11,1992,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Forestry and Paper,Kuangchi Science,Active,315563,HK439,BMG5326A1062,Hong Kong
KWAN ON HOLDINGS,K:KWAN,2015/3/27,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Kwan On Holdings,Active,9381EM,HK1559,KYG5322M1042,Hong Kong
L'OCCITANE INTL.,K:LOIS,2010/5/7,2010,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,l'Occitane International,Active,69261D,HK973,LU0501835309,Hong Kong
LANDING INTL.DEV.,K:GFCH,2002/4/30,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Chemicals,Landing International Development,Active,15446P,HK582,BMG5369T1291,Hong Kong
LAP KEI ENGR.(HDG.),K:LKEL,2015/9/25,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,LAP KEI Engineering (Holdings),Active,99326R,HK8369,NA,Hong Kong
LEAP HOLDINGS GROUP,K:LEPH,2015/9/2,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Leap Holdings Group,Active,99146L,HK1499,KYG541561158,Hong Kong
LEE & MAN PAPER MNFG.,K:LMPM,2003/9/26,2003,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Forestry and Paper,Lee and Man Paper Manufacturing,Active,27621R,HK2314,KYG5427W1309,Hong Kong
LI NING,K:LNIN,2004/6/28,2004,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Li Ning,Active,29101D,HK2331,KYG5496K1242,Hong Kong
LIFESTYLE INTL.HDG.,K:LIFS,2004/4/15,2004,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,Lifestyle International Holdings,Active,28798E,HK1212,KYG548561284,Hong Kong
LUEN WONG GROUP,K:LUWO,2016/4/12,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Luen Wong Group,Active,7079XT,HK8217,KYG5700C1087,Hong Kong
LUK HING ENTM.GP.,K:LKHN,2016/11/11,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Luk Hing Entertainment Group,Active,2644WG,HK8052,KYG569701090,Hong Kong
LUYE PHARMA GROUP,K:LUYE,2014/7/9,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Pharmaceuticals and Biotechnology,Luye Pharma Group,Active,8917MC,HK2186,BMG570071099,Hong Kong
MAN KING HOLDINGS,K:MANK,2015/7/3,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Man King Holdings,Active,9663MR,HK2193,NA,Hong Kong
MAN SHING GLOBAL,K:MHNG,2017/4/13,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Support Services,Man Shing Global,Active,9058KQ,HK8309,KYG579641013,Hong Kong
MANFIELD CHEMICAL HDG.,K:MACF,2015/12/1,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Chemicals,Manfield Chemical Holdings,Active,8735AW,HK1561,NA,Hong Kong
MIDLAND IC & I,K:EVI,2001/3/15,2001,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,Midland IC&I,Active,256696,HK459,KYG6103P1182,Hong Kong
MILLION STARS HDG.,K:ODEL,2015/2/12,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Million Stars Holdings,Active,9311W8,HK8093,KYG6129U1094,Hong Kong
MODERN DENTAL GROUP,K:MDGL,2015/12/15,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Health Care Equipment and Services,Modern Dental Group,Active,8764Q3,HK3600,KYG618201092,Hong Kong
MODERN LIVING INVESTMENTS HOLDINGS,K:MODE,2017/11/10,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Modern Living Investments Holdings,Active,9211Q2,HK8426,KYG618231032,Hong Kong
MY HEART BODIBRA GROUP,K:BDBR,2017/7/13,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,My Heart Bodibra Group,Active,9014D4,HK8297,KYG6381M1006,Hong Kong
NAN HAI,K:TEAM,1991/2/13,1991,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Nan Hai,Active,530968,HK680,BMG6389N1002,Hong Kong
NIRAKU GC HOLDINGS,K:NIRA,2015/4/8,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Niraku GC Holdings,Active,9382U1,HK1245,JP3756380006,Hong Kong
NOBLE ENGINEERING GROUP HOLDINGS,K:NEGH,2017/9/29,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Noble Engineering Group Holdings,Active,9160MM,HK8445,KYG654431066,Hong Kong
OCEAN ONE HOLDING,K:OCHC,2017/10/19,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food and Drug Retailers,Ocean One Holding,Active,9163NW,HK8476,KYG669791082,Hong Kong
ON REAL INTL.HDG.,K:ORIH,2015/9/30,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Leisure Goods,On Real International Holdings,Active,99326T,HK8245,KYG675491164,Hong Kong
PA SHUN INTL. HDG.,K:PSPS,2015/6/19,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food and Drug Retailers,PA Shun International Holdings,Active,9537C1,HK574,KYG693781000,Hong Kong
PAK WING GP.(HOLDINGS),K:PAKW,2015/8/10,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,PAK Wing Group (Holdings),Active,9828J9,HK8316,KYG687581044,Hong Kong
PINE CARE GROUP,K:PINC,2017/2/15,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Health Care Equipment and Services,Pine Care Group,Active,9016DQ,HK1989,KYG710081095,Hong Kong
PLOVER BAY TECHS.,K:PLVR,2016/7/13,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Technology Hardware and Equipment,Plover Bay Technologies,Active,7720DY,HK1523,KYG713321035,Hong Kong
PRECISION TSUGAMI (CHINA) CORPORATION,K:PTCC,2017/9/25,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Engineering,Precision Tsugami (China) Corporation,Active,9145EL,HK1651,KYG7215M1006,Hong Kong
PROGRESSIVE PATH GROUP,K:PRTH,2016/12/8,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Progressive Path Group,Active,2748G6,HK1581,KYG725391026,Hong Kong
PROSPER CON.HDG.,K:PCHL,2016/7/20,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Prosper Construction Holdings,Active,7720F3,HK6816,KYG7279E1017,Hong Kong
Q TECHNOLOGY (GROUP),K:QTCH,2014/12/2,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Q Technology (Group),Active,9214K3,HK1478,KYG7306T1058,Hong Kong
QINQIN FDST.GP.(CYMN.),K:QFGC,2016/7/8,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food Producers,Qinqin FDST Group (Cayman),Active,7588G3,HK1583,KYG730611061,Hong Kong
RISECOMM GROUP HOLDINGS,K:RCGS,2017/6/9,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Risecomm Group Holdings,Active,9103DL,HK1679,KYG7573R1056,Hong Kong
ROYAL CHINA INTL.,K:LCGH,2015/9/8,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Household Goods and Home Construction,Royal China International,Active,9914AV,HK1683,KYG7775C1042,Hong Kong
SEASON PACIFIC HOLDINGS,K:SEHL,2015/10/7,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Season Pacific Holdings,Active,8650W0,HK1709,KYG795831034,Hong Kong
SFK CONSTRUCTION HDG.,K:SFKH,2015/12/10,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,SFK Construction Holdings,Active,8751TX,HK1447,BMG8059A1036,Hong Kong
SG GROUP HOLDINGS,K:SGGH,2017/3/21,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,SG Group Holdings,Active,9048Z1,HK8442,KYG8061B1077,Hong Kong
SHENGLONG SPLENDECOR INTL.,K:SLSL,2017/7/17,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Household Goods and Home Construction,Shenglong Splendecor International,Active,9112J9,HK8481,KYG811691073,Hong Kong
SHUI ON LAND,K:SHUI,2006/10/4,2006,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Shui On Land,Active,36118N,HK272,KYG811511131,Hong Kong
SINCO PHARMS.HDG.,K:SIPH,2016/3/10,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Pharmaceuticals and Biotechnology,Sinco Pharmaceuticals Holdings,Active,8952FE,HK6833,KYG8154Y1052,Hong Kong
SING ON HOLDINGS,K:SNGO,2016/12/16,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Sing On Holdings,Active,2750C2,HK8352,KYG819761050,Hong Kong
SIS MOBILE HOLDINGS,K:SISM,2015/1/15,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Technology Hardware and Equipment,SIS Mobile Holdings,Active,92688R,HK1362,KYG8190W1050,Hong Kong
SITC INTERNATIONAL HDG.,K:SIH,2010/10/6,2010,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,Sitc International Holdings,Active,70177J,HK1308,KYG8187G1055,Hong Kong
SK TARGET GROUP,K:SKTG,2017/7/19,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,SK Target Group,Active,91125X,HK8427,KYG8T18R1058,Hong Kong
SKY LIGHT HOLDINGS,K:SKYL,2015/7/2,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Leisure Goods,Sky Light Holdings,Active,9663MQ,HK3882,KYG8191M1069,Hong Kong
SMART-CORE HOLDINGS,K:SMRT,2016/10/7,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Smart-Core Holdings,Active,2622AW,HK2166,KYG8211R1011,Hong Kong
SOHO CHINA,K:SOHO,2007/10/8,2007,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Soho China,Active,51092N,HK410,KYG826001003,Hong Kong
SOMERLEY CAPITAL HDG.,K:SMRY,2017/3/28,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Somerley Capital Holdings,Active,9052R8,HK8439,KYG826111075,Hong Kong
STAR PROPS.GP.(CYISL.),K:STPR,2016/7/13,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Star Properties Group (Cayman Islands),Active,7720FW,HK1560,KYG844701063,Hong Kong
STEED ORNTL.(HOLDINGS),K:SOCL,2015/2/23,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Steed Oriental (Holdings),Active,9320VX,HK8277,KYG846071036,Hong Kong
SUCHUANG GAS CORPORATION,K:SGCL,2015/3/11,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,"Gas, Water and Multiutilities",Suchuang Gas Corporation,Active,9336DJ,HK1430,KYG854421040,Hong Kong
SUPER STRONG HDG.,K:SSHL,2016/3/30,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Super Strong Holdings,Active,7018K7,HK8262,KYG8587W1069,Hong Kong
SYNERGY GROUP HDG.INTL.,K:SYGR,2015/3/24,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Support Services,Synergy Group Holdings International,Active,9371RD,HK1539,KYG8650S1075,Hong Kong
TAK LEE MACHINERY HDG.,K:TLMH,2017/7/27,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Engineering,Tak Lee Machinery Holdings,Active,9119F7,HK8142,KYG866501011,Hong Kong
TAKBO GROUP HOLDINGS,K:TGHD,2017/10/27,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Takbo Group Holdings,Active,9172N2,HK8436,KYG866301032,Hong Kong
TARGET INSURANCE (HDG.),K:TRGT,2015/1/15,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Nonlife Insurance,Target Insurance (Holdings),Active,92688M,HK6161,HK0000231883,Hong Kong
TEN PAO GP.HDG.,K:TPGH,2015/12/11,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Ten Pao Group Holdings,Active,8751TV,HK1979,KYG876031090,Hong Kong
THELLOY DEVELOPMENT GP.,K:TDGL,2015/10/9,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Thelloy Development Group,Active,8662KV,HK1546,KYG879891029,Hong Kong
TIANYUN INTL.HOLDINGS,K:TIYU,2015/7/7,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food Producers,Tianyun International Holdings,Active,9742L2,HK6836,VGG8880B1067,Hong Kong
TIME2U INTL.HOLDING,K:TIMY,2015/1/30,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,TIME2U International Holding,Active,9290UH,HK1327,KYG8879S1021,Hong Kong
TIMES PROPERTY HOLDINGS,K:TPHS,2013/12/11,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Times Property Holdings,Active,93670C,HK1233,KYG8904A1004,Hong Kong
TOP DYNAMIC INTL.HDG.,K:TDIL,2015/10/9,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Technology Hardware and Equipment,Top Dynamic International Holdings,Active,8662KZ,HK2203,NA,Hong Kong
TOWNGAS CHINA,K:PANV,2001/4/20,2001,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,"Gas, Water and Multiutilities",Towngas China,Active,256716,HK1083,KYG8972T1067,Hong Kong
TSAKER CHEMICAL GROUP,K:TSAK,2015/7/3,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Chemicals,Tsaker Chemical Group,Active,9734NG,HK1986,KYG910801045,Hong Kong
UMP HEALTHCARE HOLDINGS,K:UMPH,2015/11/27,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Health Care Equipment and Services,UMP Healthcare Holdings,Active,8735AV,HK722,KYG9320W1069,Hong Kong
UNION MEDICAL HEALTHCARE,K:UMHL,2016/3/11,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Health Care Equipment and Services,Union Medical Healthcare,Active,8952CV,HK2138,KYG9320L1005,Hong Kong
UNITED STRENGTH POWER HOLDINGS,K:USPH,2017/10/16,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Oil and Gas Producers,United Strength Power Holdings,Active,9163NM,HK2337,KYG9354A1031,Hong Kong
VINCENT MEDICAL HDG.,K:VMED,2016/7/13,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Health Care Equipment and Services,Vincent Medical Holdings,Active,7720DW,HK1612,KYG9367D1025,Hong Kong
VINDA INTERNATIONAL HDG.,K:VIND,2007/7/10,2007,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Household Goods and Home Construction,Vinda International Holdings,Active,50721R,HK3331,KYG9361V1086,Hong Kong
VITAL MOBILE HOLDINGS,K:VTMB,2015/6/26,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Technology Hardware and Equipment,Vital Mobile Holdings,Active,9661CN,HK6133,KYG9381Y1089,Hong Kong
VITASOY INTL.HDG.,K:VITA,1994/3/30,1994,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Beverages,Vitasoy International Holdings,Active,362257,HK345,HK0345001611,Hong Kong
WAN KEI GROUP HOLDINGS,K:WANK,2015/8/11,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Wan KEI Group Holdings,Active,9828J8,HK1718,KYG943081060,Hong Kong
WING CHI HOLDINGS,K:WCHD,2017/10/20,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Wing Chi Holdings,Active,9166TC,HK6080,KYG970471077,Hong Kong
WINTO GROUP HOLDINGS,K:WGHL,2015/2/16,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,Winto Group Holdings,Active,9305ZE,HK8238,KYG9722S1176,Hong Kong
WORLDGATE GLB.LOGIST.,K:WGLL,2016/7/6,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,Worldgate Global Logistics,Active,7715GC,HK8292,NA,Hong Kong
XIABUXIABU CATER.MAN. (CHINA) HDG.,K:XIAB,2014/12/17,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Xiabuxiabu Catering Management (China) Holdings,Active,8940N3,HK520,KYG982971072,Hong Kong
XINMING CHINA HOLDINGS,K:XINM,2015/7/6,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Xinming China Holdings,Active,9734NH,HK2699,KYG9830D1016,Hong Kong
XINYI SOLAR HOLDINGS,K:XSHL,2013/12/12,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Alternative Energy,Xinyi Solar Holdings,Active,93369K,HK968,KYG9829N1025,Hong Kong
YAN TAT GROUP HOLDINGS,K:YTGH,2014/12/8,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Yan Tat Group Holdings,Active,9216GA,HK1480,KYG9833Q1091,Hong Kong
YAT SING HOLDINGS,K:YATS,2015/1/14,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Yat Sing Holdings,Active,92688U,HK3708,KYG983421010,Hong Kong
YEE HOP HOLDINGS,K:YEEH,2015/12/18,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Yee Hop Holdings,Active,8792J1,HK1662,KYG9836P1081,Hong Kong
YUEXIU PROPERTY,K:GZIN,1992/12/15,1992,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Yuexiu Property,Active,316343,HK123,HK0123000694,Hong Kong
YUK WING GROUP,K:YKWG,2017/1/11,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Engineering,YUK Wing Group,Active,2883T9,HK1536,KYG9881J1067,Hong Kong
YUNFENG FINANCIAL GROUP,K:MANH,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Yunfeng Financial Group,Active,755960,HK376,HK0000091790,Hong Kong
YUZHOU PROPERTIES,K:YPRP,2009/11/2,2009,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Yuzhou Properties,Active,68148W,HK1628,KYG9884T1013,Hong Kong
ZHENG LI HOLDINGS,K:ZNGL,2016/11/8,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,Zheng Li Holdings,Active,2653NG,HK8283,KYG9897M1015,Hong Kong
ZHI SHENG GROUP,K:ZHIS,2017/1/20,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Household Goods and Home Construction,ZHI Sheng Group,Active,2883UA,HK8370,KYG9898D1007,Hong Kong
ZHONG AO HOME GROUP,K:ZHON,2015/11/25,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Zhong ao Home Group,Active,8735AT,HK1538,KYG9897C1033,Hong Kong
ZHONGZHI PHARM.HOLDINGS,K:ZZZZ,2015/7/13,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food and Drug Retailers,Zhongzhi Pharmaceutical Holdings,Active,9748WE,HK3737,KYG989611085,Hong Kong
361 DEGREES INTL.,K:DGRS,2009/6/30,2009,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,361 Degrees International,Active,67619Q,HK1361,KYG884931042,Hong Kong
AHSAY BACKUP SOFTWARE DEV.CO.,K:AHSB,2015/10/8,2015,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Software and Computer Services,Ahsay Backup Software Development Company,Active,9935N4,HK8290,KYG0132C1078,Hong Kong
ALLIED GROUP,K:ALIG,1983/3/1,1983,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Allied Group,Active,771026,HK373,HK0373013660,Hong Kong
ASSOCIATED INTL.HOTELS,K:AIH,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Associated International Hotels,Active,755880,HK105,HK0105000613,Hong Kong
AUSNUTRIA DAIRY,K:AUST,2009/10/8,2009,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food Producers,Ausnutria Dairy,Active,68040C,HK1717,KYG063181021,Hong Kong
BOCOM INTERNATIONAL,K:BOCM,2017/5/19,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Bocom International,Active,9063AL,HK3329,HK0000337987,Hong Kong
BOSIDENG INTL.HOLDINGS,K:BOSI,2007/10/11,2007,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Bosideng International Holdings,Active,51117X,HK3998,KYG126521064,Hong Kong
C P POKPHAND,K:POKP,1988/4/28,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food Producers,C P Pokphand,Active,771322,HK43,BMG715071343,Hong Kong
CAMSING INTERNATIONAL,K:FITT,2005/12/14,2005,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Camsing International,Active,32470P,HK2662,KYG1809X1016,Hong Kong
CAPITAL ENVIRONMENT HDG.,K:HEMB,2006/7/13,2006,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Capital Environment Holdings,Active,36207K,HK3989,KYG1941T1094,Hong Kong
CHAMPION REIT.TRUST,K:CREI,2006/5/24,2006,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment Trusts,Champion Real Estate Investment Trust,Active,35931N,HK2778,HK2778034606,Hong Kong
CHAOWEI POWER HOLDINGS,K:CPH,2010/7/7,2010,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Chaowei Power Holdings,Active,69682L,HK951,KYG204791043,Hong Kong
CHIHO_ENVIRONMENTAL_GP.,K:CTG,2010/7/12,2010,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Support Services,Chiho_environmental_gp,Active,69694W,HK976,KYG4465A1004,Hong Kong
