Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Wong's Kong King International Holdings,WONG'S KONG KING INTHDG.,K:WKKH,1989/7/10,502484,HK532,BMG9737M1055
Chu Kong Petroleum and Natural Gas Steel Pipe Holdings,CHU KONG PTL.AND NATGS. STL.PIPE HOLDINGS,K:CHKK,2010/2/10,68693D,HK1938,KYG212331048
Tencent Holdings,TENCENT HOLDINGS,K:TCNT,2004/6/16,29061M,HK700,KYG875721634
HSBC Holdings,HSBC HOLDINGS,K:HSBC,1973/1/1,923812,HK5,GB0005405286
China Mobile,CHINA MOBILE,K:CHT,1997/10/23,867874,HK941,HK0941009539
AIA Group,AIA GROUP,K:AGP,2010/10/29,70899K,HK1299,HK0000069689
CNOOC,CNOOC,K:CNOO,2001/2/28,256842,HK883,HK0883013259
CK Hutchison Holdings,CK HUTCHISON HOLDINGS,K:CHGK,1973/1/1,930492,HK1,KYG217651051
China Evergrande,CHINA EVERGRANDE,K:EVRG,2009/11/5,51785D,HK3333,KYG2119W1069
Hang Seng Bank,HANG SENG BANK,K:HSBA,1973/1/1,929594,HK11,HK0011000095
Sun Hung Kai Properties,SUN HUNG KAI PROPERTIES,K:SHKP,1973/1/1,929146,HK16,HK0016000132
Citic,CITIC,K:CITP,1988/6/1,998511,HK267,HK0267001375
Sands China,SANDS CHINA,K:SNDC,2009/11/30,68341V,HK1928,KYG7800X1079
Country Garden Holdings,COUNTRY GARDEN HOLDINGS,K:COGA,2007/4/20,50378R,HK2007,KYG245241032
MTR,MTR,K:MTRC,2000/10/5,264718,HK66,HK0066009694
China Overseas Land and Investment,CHINA OS.LD.& INV.,K:COLI,1992/8/20,316071,HK688,HK0688002218
CK Asset Holdings,CK ASSET HOLDINGS,K:CKPH,2015/6/3,9507UZ,HK1113,KYG2177B1014
Geely Automobile Holdings,GEELY AUTOMOBILE HDG.,K:MANR,1988/6/1,938726,HK175,KYG3777B1032
Galaxy Entertainment Group,GALAXY ENTERTAINMENT GP.,K:PIPE,1991/10/7,314060,HK27,HK0027032686
Wharf Holdings,WHARF HOLDINGS,K:HKWH,1973/1/1,929597,HK4,HK0004000045
Henderson Land Development,HENDERSON LD.DEV.,K:HELD,1981/7/23,997697,HK12,HK0012000102
CLP Holdings,CLP HOLDINGS,K:CLIG,1973/1/1,929593,HK2,HK0002007356
AAC Technologies Holdings,AAC TECHNOLOGIES HDG.,K:AACA,2005/8/9,31447H,HK2018,KYG2953R1149
China Resources Land,CHINA RESOURCES LAND,K:CHBE,1996/11/8,887449,HK1109,KYG2108Y1052
Fosun International,FOSUN INTERNATIONAL,K:FOSN,2007/7/16,50764C,HK656,HK0656038673
Sunac China Holdings,SUNAC CHINA HOLDINGS,K:SCHL,2010/10/7,68500H,HK1918,KYG8569A1067
Swire Properties,SWIRE PROPERTIES,K:SWIE,2012/1/18,68802J,HK1972,HK0000063609
Power Assets Holdings,POWER ASSETS HOLDINGS,K:HKEL,1973/1/1,929595,HK6,HK0006000050
China Gas Holdings,CHINA GAS HOLDINGS,K:IWAI,1995/10/20,865028,HK384,BMG2109G1033
Sunny Optical Technology (Group),SUNNY OPTICAL TECH.(GP.),K:SOPT,2007/6/15,50631X,HK2382,KYG8586D1097
WH Group,WH GROUP,K:HHPL,2014/8/5,89011L,HK288,KYG960071028
Longfor Properties,LONGFOR PROPERTIES,K:LNGF,2009/11/19,68277H,HK960,KYG5635P1090
Link Real Estate Investment Trust,LINK RL.EST.INV.TST.,K:LREI,2005/11/25,298493,HK823,HK0823032773
New World Development,NEW WORLD DEV.,K:NWDV,1973/1/1,930223,HK17,HK0017000149
Wheelock and Company,WHEELOCK AND CO.,K:WHEL,1973/1/1,916504,HK20,HK0020000177
Wynn Macau,WYNN MACAU,K:WYNN,2009/10/9,68039H,HK1128,KYG981491007
Anta Sports Products,ANTA SPORTS PRODUCTS,K:ANIT,2007/7/10,50722E,HK2020,KYG040111059
Brilliance China Automotive Holdings,BRILLIANCE CHINA AUTV. HDG.,K:CBA,1999/10/22,691912,HK1114,BMG1368B1028
China Mengniu Dairy,CHINA MENGNIU DAIRY,K:MNDA,2004/6/10,29042F,HK2319,KYG210961051
Hengan International Group,HENGAN INTL.GP.,K:HENG,1998/12/8,675810,HK1044,KYG4402L1510
Meitu,MEITU,K:MEIT,2016/12/15,2759ZZ,HK1357,KYG5966D1051
Prada,PRADA,K:PRAD,2011/6/24,77253U,HK1913,IT0003874101
United Company Rusal,UNITED COMPANY RUSAL,K:RUSA,2010/1/27,68619D,HK486,JE00B5BCW814
3SBIO,3SBIO,K:SBIL,2015/6/11,9528QR,HK1530,KYG8875G1029
Bank of East Asia,BANK OF EAST ASIA,K:BEAA,1973/1/1,951410,HK23,HK0023000190
BOC Aviation,BOC AVIATION,K:BOCA,2016/6/1,7294AL,HK2588,SG9999015267
CSPC Pharmaceutical Group,CSPC PHARMACEUTICAL GP.,K:CPHA,1994/6/21,140134,HK1093,HK1093012172
Hang Lung Properties,HANG LUNG PROPERTIES,K:AMOY,1983/1/3,951407,HK101,HK0101000591
Sino Land,SINO LAND,K:SILC,1981/4/8,997310,HK83,HK0083000502
Swire Pacific 'A',SWIRE PACIFIC 'A',K:SWPA,1973/1/1,916546,HK19,HK0019000162
Techtronic Industries,TECHTRONIC INDS.,K:TRON,1990/12/17,540775,HK669,HK0669013440
Alibaba Pictures Group,ALIBABA PICTURES GROUP,K:INTC,1994/5/12,362461,HK1060,BMG0171W1055
Chow Tai Fook Jewellery Group,CHOW TAI FOOK JEWELLERY GP.,K:CTFJ,2011/12/15,86521D,HK1929,KYG211461085
Guangdong Investment,GUANGDONG INVESTMENT,K:GUAN,1988/6/1,771681,HK270,HK0270001396
Kingsoft,KINGSOFT,K:KINS,2007/10/9,51100N,HK3888,KYG5264Y1089
Kunlun Energy,KUNLUN ENERGY,K:PARG,1988/6/1,755101,HK135,BMG5320C1082
MGM China Holdings,MGM CHINA HOLDINGS,K:MCHL,2011/6/3,77160X,HK2282,KYG607441022
Postal Savings Bank of China 'H',POSTAL SAVINGS BOC.'H',K:PSBC,2016/9/28,2584NM,HK1658,CNE1000029W3
Shenzhou International Group Holdings,SHENZHOU INTL.GP.HDG.,K:SZIN,2005/11/24,32307F,HK2313,KYG8087W1015
Cathay Pacific Airways,CATHAY PACIFIC AIRWAYS,K:CATH,1986/5/15,729076,HK293,HK0293001514
China Taiping Insurance Holdings,CHINA TAIPING IN.HDG.,K:CINS,2000/6/29,280966,HK966,HK0000055878
ENN Energy Holdings,ENN ENERGY HOLDINGS,K:XINA,2001/5/10,261993,HK2688,KYG3066L1014
Fullshare Holdings,FULLSHARE HOLDINGS,K:WARD,2002/12/18,26611N,HK607,KYG3690U1058
Genscript Biotechnology,GENSCRIPT BIOTECH,K:GENS,2015/12/30,8827JK,HK1548,KYG3825B1059
HKBN,HKBN,K:HKBN,2015/3/12,9336DL,HK1310,KYG451581055
HKT Trust and HKT,HKT TRUST & HKT,K:HKTL,2011/11/29,77954L,HK6823,HK0000093390
Jnby Design,JNBY DESIGN,K:JNBY,2016/10/31,2637YH,HK3306,KYG550441045
Kingston Financial Group,KINGSTON FINANCIAL GROUP,K:STIM,1996/7/23,865766,HK1031,BMG5266H1034
Lenovo Group,LENOVO GROUP,K:LEGE,1994/2/14,362033,HK992,HK0992009065
Nine Dragons Paper Holdings,NINE DRAGONS PAPER HDG.,K:NDRA,2006/3/3,32836U,HK2689,BMG653181005
NWS Holdings,NWS HOLDINGS,K:PAPO,1997/4/25,890205,HK659,BMG668971101
PCCW,PCCW,K:TRIC,1994/10/18,140539,HK8,HK0008011667
Shimao Property Holdings,SHIMAO PROPERTY HOLDINGS,K:SHIM,2006/7/5,36165F,HK813,KYG810431042
Sino Biopharmaceutical,SINO BIOPHM.,K:SBIO,2000/9/29,297037,HK1177,KYG8167W1380
Sundart Holdings,SUNDART HOLDINGS,K:SUDR,2015/12/29,8776Y2,HK1568,VGG857251026
Zall Group,ZALL GROUP,K:ZDCH,2011/7/13,773766,HK2098,KYG9888C1125
Aeso,AESO,K:AESO,2017/1/13,2883UC,HK8341,KYG0113B1023
Agile Group Holdings,AGILE GROUP HDG.,K:AGIL,2005/12/15,32484K,HK3383,KYG011981035
Al Group,AL GROUP,K:ALGL,2016/7/12,7715GF,HK8360,NA
Altus Holdings,ALTUS HOLDINGS,K:ALTS,2016/10/17,2625L5,HK8149,KYG0R70H1014
ASM Pacific Technology,ASM PACIFIC TECH.,K:ASMP,1988/12/30,779675,HK522,KYG0535Q1331
Beijing Enterprises Holdings,BEIJING ENTERPRISES HDG.,K:BEEN,1997/5/29,890505,HK392,HK0392044647
BYD Electronic (International),BYD ELECTRONIC (INTL.),K:BYDE,2007/12/20,51386M,HK285,HK0285041858
CGN Mining,CGN MINING,K:VBTE,2002/2/7,15169W,HK1164,KYG2029E1052
Cherish Holdings,CHERISH HOLDINGS,K:CHSH,2016/10/17,2625M5,HK2113,KYG2090D1016
China Hongqiao Group,CHINA HONGQIAO GROUP,K:CHGT,2011/3/24,74528X,HK1378,KYG211501005
China Merchants Port Holdings,CHINA MRCH.POR.HDG.,K:HAIH,1992/7/15,315805,HK144,HK0144000764
China Resources Beer (Holdings) Company,CHINA RES.BEER (HDG.)CO.,K:CHRE,1988/6/1,771566,HK291,HK0291001490
China Resources Power Holdings,CHINA RES.POWER HDG.,K:CREP,2003/11/12,27962U,HK836,HK0836012952
China Zheshang Bank 'H',CHINA ZHESHANG BANK 'H',K:CZBC,2016/3/30,7017KF,HK2016,CNE1000025S9
Chuan Holdings,CHUAN HOLDINGS,K:CHL,2016/6/8,7465Q4,HK1420,KYG2123Y1061
Cosco Shipping Ports,COSCO SHIP.PORTS,K:FLGR,1994/12/19,140830,HK1199,BMG2442N1048
CPM Group,CPM GROUP,K:CPMG,2017/7/10,9107TG,HK1932,KYG2R5391062
Dadi Education,DADI EDUCATION,K:DADI,2017/2/16,9015EM,HK8417,KYG2616M1069
Dali Foods Group Company,DALI FOODS GROUP CO.,K:DALF,2015/11/20,8721RN,HK3799,KYG2743Y1061
FDB Holdings,FDB HOLDINGS,K:FDBH,2015/9/30,9934UZ,HK1826,KYG3348R1083
First Pacific,FIRST PACIFIC,K:FPCC,1982/6/21,937357,HK142,BMG348041077
Furniweb Holdings,FURNIWEB HOLDINGS,K:FNWH,2017/10/16,9163NR,HK8480,KYG370041017
Gameone Holdings,GAMEONE HOLDINGS,K:GOME,2016/1/13,8840EX,HK8282,KYG3729L1005
Geotech Holdings,GEOTECH HOLDINGS,K:GHDG,2017/10/12,91621T,HK1707,KYG3835R1083
Haier Electronics Group,HAIER ELECTRONICS GP.,K:WIL,1997/12/23,879366,HK1169,BMG423131256
Hailan Holdings,HAILAN HOLDINGS,K:HLAN,2016/7/15,7720DV,HK2278,KYG422991003
Hongguang Lighting,HONGGUANG LIGHTING,K:HGLT,2016/12/30,2786RK,HK8343,KYG4644A1040
Huajin International,HUAJIN INTL.,K:HUIH,2016/4/15,7084PV,HK2738,KYG464211062
Hypebeast,HYPEBEAST,K:HYPL,2016/4/11,7079XU,HK8359,KYG468321040
ICO Group,ICO GROUP,K:ICOG,2015/3/18,93686W,HK1460,KYG4706W1353
ITP Holdings,ITP HOLDINGS,K:ITPH,2017/6/14,9103UV,HK8446,KYG479741038
Janco Holdings,JANCO HOLDINGS,K:JNCO,2016/10/7,2625L4,HK8035,NA
Kakiko Group,KAKIKO GROUP,K:KKKG,2017/10/17,9168DG,HK2225,KYG5223R1039
Kerry Properties,KERRY PROPERTIES,K:KERP,1996/8/5,887075,HK683,BMG524401079
Kiddieland International,KIDDIELAND INTERNATIONAL,K:KDLO,2017/9/21,91438H,HK3830,KYG5259B1059
Kingboard Chemical Holdings,KINGBOARD CHEMICAL HDG.,K:KINC,1993/10/8,317789,HK148,KYG525621408
KNK Holdings,KNK HOLDINGS,K:KNKH,2016/12/12,27500G,HK8039,NA
KPM Holding,KPM HOLDING,K:KPMH,2015/7/10,9748WH,HK8027,NA
KSL Holdings,KSL HOLDINGS,K:KSLH,2014/12/5,9223UK,HK8170,NA
Lai Group,LAI GROUP,K:LAIG,2017/4/12,9059KD,HK8455,NA
Li and Fung,LI & FUNG,K:FUNG,1992/7/1,315769,HK494,BMG5485F1692
Linekong Interactive,LINEKONG INTERACTIVE,K:KONZ,2014/12/30,92272P,HK8267,KYG5504C1069
Linocraft Holdings,LINOCRAFT HOLDINGS,K:LCHD,2017/9/15,91407V,HK8383,KYG5S10M1014
LKS,LKS,K:LKSH,2017/1/12,2884LQ,HK8415,NA
Lumina Group,LUMINA GROUP,K:LUMG,2017/10/25,9163NL,HK8470,KYG569821047
Medicskin Holdings,MEDICSKIN HOLDINGS,K:MDCK,2014/12/18,9232WR,HK8307,KYG595641070
Medinet Group,MEDINET GROUP,K:MGL,2016/5/31,7465Q3,HK8161,NA
Meigu Technology,MEIGU TECHNOLOGY,K:MEIG,2017/1/13,2872VE,HK8349,KYG5965T1013
Minth Group,MINTH GROUP,K:MINT,2005/12/1,32361L,HK425,KYG6145U1094
Miricor Enterprises,MIRICOR ENTERPRISES,K:MRCR,2017/1/10,2884A9,HK8358,KYG6193F1037
MMG,MMG,K:ORMT,1994/12/15,140810,HK1208,HK1208013172
Nameson Holdings,NAMESON HOLDINGS,K:NHL,2016/4/12,7077U7,HK1982,KYG6362E1017
Nexion Technologies,NEXION TECHNOLOGIES,K:NXNT,2017/6/16,9104YF,HK8420,KYG6528R1039
NNK Group,NNK GROUP,K:NNKG,2016/1/7,8827JR,HK3773,KYG654091076
Pantronics Holdings,PANTRONICS HOLDINGS,K:PNTR,2016/11/21,2724H6,HK1611,VGG6891S1002
Paradise Entertainment,PARADISE ENTERTAINMENT,K:YIP,1997/1/20,887716,HK1180,BMG6893L1375
PFC Device,PFC DEVICE,K:PFCD,2016/10/7,2625M1,HK8231,NA
Pinestone,PINESTONE,K:PINO,2015/6/12,9528QU,HK804,KYG7110K1004
Purapharm,PURAPHARM,K:PURA,2015/7/8,97447L,HK1498,KYG7306Y1044
REF Holdings,REF HOLDINGS,K:REFH,2015/9/25,9931RN,HK1631,KYG7469C1050
RMH Holdings,RMH HOLDINGS,K:RMHH,2017/10/13,9163NU,HK8437,KYG7610R1002
Samsonite International,SAMSONITE INTERNATIONAL,K:SAM,2011/6/16,77218J,HK1910,LU0633102719
Sanroc International,SANROC INTERNATIONAL,K:SNRC,2017/2/10,9016FL,HK1660,KYG7811R1074
Satu Holdings,SATU HOLDINGS,K:SHDG,2017/10/16,9163NY,HK8392,KYG7823H1056
SH Group,SH GROUP,K:SHGP,2017/1/3,2805FJ,HK1637,KYG809871034
Shangri-La Asia,SHANGRI-LA ASIA,K:SLAS,1993/6/17,317483,HK69,BMG8063F1068
Singasia Holdings,SINGASIA HOLDINGS,K:SING,2016/7/15,7722AE,HK8293,NA
Sisram Medical,SISRAM MEDICAL,K:SMOR,2017/9/19,9141V1,HK1696,IL0011418113
Smit Holdings,SMIT HOLDINGS,K:SMHL,2016/3/30,7017KG,HK2239,KYG824001054
Speed Apparel,SPEED APPAREL,K:SPEE,2017/5/31,9016GT,HK8183,KYG8340R1056
TEM Holdings,TEM HOLDINGS,K:TMH,2016/5/18,7292KM,HK8346,NA
Tomo Holdings,TOMO HOLDINGS,K:TMHL,2017/7/13,9112KC,HK8463,KYG8955R1011
Wang On Properties,WANG ON PROPERTIES,K:WOPL,2016/4/12,7077U1,HK1243,BMG9430P1086
Want Want China Holdings,WANT WANT CHINA HOLDINGS,K:WANT,2008/3/26,51780L,HK151,KYG9431R1039
Windmill Group,WINDMILL GROUP,K:WDML,2017/4/18,9059KF,HK8409,KYG9700F1037
Canvest Environmental Protection Group,CANVEST ENV.PROTC.GROUP,K:CANV,2014/12/29,9236X0,HK1381,KYG183221004
Car,CAR,K:CARI,2014/9/19,90770H,HK699,KYG190211071
China Everbright,CHINA EVERBRIGHT,K:IHDH,1988/6/1,992682,HK165,HK0165000859
China Everbright International,CHINA EVERBRIGHT INTL.,K:CHEI,1988/6/7,756184,HK257,HK0257001336
China Long Group,CHINA LNG GROUP,K:ARTL,2001/10/24,14709X,HK931,KYG2117J1316
China Logistics Property Holdings,CHINA LOGIST.PR.HDG.,K:CLPH,2016/7/15,7720FV,HK1589,KYG212091048
China Merchants Land,CHINA MERCHANTS LAND,K:TON,1997/10/16,866795,HK978,KYG210AW1064
China Resources Pharmaceutical Group,CHINA RES.PHARM.GP.,K:CRPH,2016/10/28,2635VA,HK3320,HK0000311099
China Resources Gas Group,CHINA RESOURCES GAS GP.,K:LOGI,1994/11/7,140644,HK1193,BMG2113B1081
China State Construction International Holdings,CHINA STE.CON.INTL.HDG.,K:CSCI,2005/7/8,31216W,HK3311,KYG216771363
Chinese Estates Holdings,CHINESE ESTATES HDG.,K:CHNE,1988/6/1,981810,HK127,BMG2108M2182
Cifi Holdings (Group),CIFI HOLDINGS (GROUP),K:CIHG,2012/11/23,87848F,HK884,KYG2140A1076
CMBC Capital Holdings,CMBC CAPITAL HOLDINGS,K:HFG,1998/3/12,865730,HK1141,BMG2233G1024
CSC Financial 'H',CSC FINANCIAL 'H',K:CSCF,2016/12/9,2750C1,HK6066,CNE100002B89
Far East Horizon,FAR EAST HORIZON,K:FEHL,2011/3/30,75605H,HK3360,HK0000077468
FIT Hon Teng,FIT HON TENG,K:FHTL,2017/7/13,9112KU,HK6088,KYG3R83K1037
GET Nice Financial Group,GET NICE FINANCIAL GP.,K:GNFL,2016/4/8,8766WL,HK1469,KYG386201035
Goldin Financial Holdings,GOLDIN FINANCIAL HDG.,K:FIRE,1992/10/8,315991,HK530,BMG3968F1370
Goodbaby International Holdings,GOODBABY INTL.HOLDINGS,K:GBIH,2010/11/24,72493T,HK1086,KYG398141013
Great Eagle Holdings,GREAT EAGLE HDG.,K:GEAL,1973/1/1,992770,HK41,BMG4069C1486
Greentown Service Group,GREENTOWN SER.GP.,K:GSGC,2016/7/12,7715GA,HK2869,KYG410121084
Guoco Group,GUOCO GROUP,K:GUOC,1983/6/17,944418,HK53,BMG420981224
Haitian International Holdings,HAITIAN INTL.HOLDINGS,K:HAIT,2006/12/22,41473C,HK1882,KYG4232C1087
Hang Lung Group,HANG LUNG GROUP,K:HLDV,1973/1/1,929690,HK10,HK0010000088
Hengten Networks Group,HENGTEN NETWORKS GROUP,K:MAS,1997/9/25,896229,HK136,BMG4404N1065
Hopewell Holdings,HOPEWELL HOLDINGS,K:HOPE,1973/1/1,929785,HK54,HK0000051067
Hysan Development,HYSAN DEVELOPMENT,K:HYSD,1981/9/18,997914,HK14,HK0014000126
Imax China Holding,IMAX CHINA HOLDING,K:IMXC,2015/10/8,9935D8,HK1970,KYG476341030
Jiayuan International Group,JIAYUAN INTL.GP.,K:JIGL,2016/3/8,8952FC,HK2768,KYG5139G1001
Johnson Electric Holdings,JOHNSON ELECTRIC HDG.,K:JNEL,1984/7/11,999604,HK179,BMG5150J1577
Kaisa Group Holdings,KAISA GROUP HOLDINGS,K:KHDL,2009/12/9,68426K,HK1638,KYG521321003
Kingboard Laminates Holdings,KINGBOARD LAMINATES HDG.,K:KILA,2006/12/7,41429U,HK1888,KYG5257K1076
KWG Property Holding,KWG PROPERTY HOLDING,K:KWGP,2007/7/3,50683P,HK1813,KYG532241042
Li Bao GE Group,LI BAO GE GROUP,K:LBGG,2016/6/30,7588G4,HK8102,KYG548041022
Logan Property Holdings,LOGAN PROPERTY HOLDINGS,K:LPTY,2013/12/20,8651GJ,HK3380,KYG555551095
Madison Holdings Group,MADISON HDG. GP.,K:MWHL,2015/10/8,8650W1,HK8057,KYG5747Y1052
Man Wah Holdings,MAN WAH HOLDINGS,K:MEH,2010/4/9,69027K,HK1999,BMG5800U1071
Melco International Development,MELCO INTL.DEV.,K:MELO,1988/6/1,771625,HK200,HK0200030994
Nagacorp,NAGACORP,K:NAGA,2006/10/19,41259H,HK3918,KYG6382M1096
Nexteer Automotive Group,NEXTEER AUTOMOTIVE GROUP,K:NAGL,2013/10/7,89270M,HK1316,KYG6501M1050
Orient Overseas (International),ORIENT OVERSEAS (INTL.),K:OROC,1973/4/12,930163,HK316,BMG677491539
Perfect Group International Holdings,PERFECT GROUP INTERNATIONAL HOLDINGS,K:PERI,2016/1/4,8827JP,HK3326,KYG700671145
Regina Miracle International (Holdings),REGINA MIRACLE INTL. (HDG.),K:RMIL,2015/10/8,9935D9,HK2199,KYG748071019
Ronshine China Holdings,RONSHINE CHINA HDG.,K:RONS,2016/1/13,8840EV,HK3301,KYG763681023
Semiconductor Manufacturing International,SEMICONDUCTOR MNFG.INTL.,K:SMIC,2004/3/18,28589J,HK981,KYG8020E1199
Shanghai Industrial Holdings,SHANGHAI INDL.HDG.,K:SIND,1996/5/30,865606,HK363,HK0363006039
Shenzhen International Holdings,SHENZHEN INTL.HDG.,K:SHEN,1988/6/1,771582,HK152,BMG8086V1467
Shenzhen Investment,SHENZHEN INVESTMENT,K:SHUM,1997/3/7,887916,HK604,HK0604011236
Sinotruk (Hongkong),SINOTRUK (HONGKONG),K:SITH,2007/11/28,51299L,HK3808,HK3808041546
SJM Holdings,SJM HOLDINGS,K:SJMH,2008/7/16,53613V,HK880,HK0880043028
Tingyi Cayman Islands Holding,TINGYI CYMN.ISLE.HLDG.,K:CAYM,1996/2/5,865347,HK322,KYG8878S1030
