issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LCS,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Aurona Industries Inc,2003/12/18,2003/12/18,TW0008074006,8074,3674,Aurona Industries Inc,auronaindustrie,Aurona Industries,Aurona Industries,AURONA INDUSTRIES,TW:ARN,2004/1/27,28395X,T8074,TW0008074006
Analog Integrations Corp,2003/12/19,2003/12/19,TW0006291008,6291,3674,Analog Integrations Corp,analogintegrati,Analog Integrations,Analog Integrations,ANALOG INTEGRATIONS,TW:ANG,2004/1/28,28399K,T6291,TW0006291008
Pro-Nets Technology Ltd,2003/12/30,2003/12/30,TW0008082009,8082,3661,Pro-Nets Technology Ltd,prones,Plastron Precision,Plastron Precision,PLASTRON PRECISION,TW:PPC,2002/8/9,26099J,T6185,TW0006185002
Supreme Electronics Co Ltd,2003/12/30,2003/12/30,TW0008112004,8112,5065,Supreme Electronics Co Ltd,supreme,Supreme Electronics,Supreme Electronics,SUPREME ELECTRONICS,TW:SUM,2004/2/9,28466U,T8112,TW0008112004
Eminent Luggage Corp,2004/1/26,2004/1/26,TW0009950006,9950,3161,Eminent Luggage Corp,eminentluggage,Eminent Luggage,Eminent Luggage,EMINENT LUGGAGE,TW:EMI,2004/2/17,28510D,T9950,TW0009950006
Panram International Corp,2004/1/30,2004/1/30,TW0008088006,8088,3674,Panram International Corp,panram,Panram International,Panram International,PANRAM INTERNATIONAL,TW:PRI,2004/2/27,28545F,T8088,TW0008088006
Gu Ta Internet Information Co,2004/2/1,2004/2/1,,3085,7375,Gu Ta Internet Information Co,ainterntin,Pan-International Industrial,Pan-International Industrial,PAN-INTL.INDL.,TW:PAI,1993/11/9,315361,T2328,TW0002328002
Forward Electronics Co Ltd,2004/2/2,2004/2/2,TW0008085002,8085,3674,Forward Electronics Co Ltd,forward,Forward Electronics,Forward Electronics,FORWARD ELECTRONICS,TW:FWC,2004/3/1,28549H,T8085,TW0008085002
L&K Precision Technology Co,2004/2/2,2004/2/2,TW0008097007,8097,3699,L&K Precision Technology Co,lprecision,Largan Precision,Largan Precision,LARGAN PRECISION,TW:LPC,2002/3/11,15284R,T3008,TW0003008009
Chip Hope Co Ltd,2004/2/7,2004/2/7,TW0008084005,8084,3674,Chip Hope Co Ltd,chiphope,Chip Hope,Chip Hope,CHIP HOPE,TW:PHH,2004/3/8,28574D,T8084,TW0008084005
Taiwan Surface Mounting Tech,2004/2/10,2004/2/10,TW0006278005,6278,3674,Taiwan Surface Mounting Tech,taiwansurfacemo,Taiwan Surface Mounting Technology,Taiwan Surface Mounting Technology,TAIWAN SURFACE MUG.TECH.,TW:TMN,2004/3/12,28603H,T6278,TW0006278005
Ame Inc,2004/2/14,2004/2/14,TW0003188009,3188,3674,Ame Inc,ame,Taiwan Mobile,Taiwan Mobile,TAIWAN MOBILE,TW:TCE,2000/9/19,264789,T3045,TW0003045001
Service&Quality Tech Co Ltd,2004/2/20,2004/2/20,TW0003219002,3219,3674,Service&Quality Tech Co Ltd,servicequali,Service and Quality Technology,Service and Quality Technology,SERVICE & QUALITY TECH.,TW:S&Q,2004/3/19,28685W,T3219,TW0003219002
CviLux Corporation,2004/2/23,2004/2/23,TW0008103003,8103,3674,CviLux Corporation,vioration,Aver Information,Aver Information,AVER INFORMATION,TW:ARM,2009/7/15,68917X,T3669,TW0003669008
Chander Electronics Corp,2004/2/23,2004/2/23,TW0008068008,8068,3678,Chander Electronics Corp,chander,Chander Electronics,Chander Electronics,CHANDER ELECTRONICS,TW:CRL,2004/3/25,28724H,T8068,TW0008068008
Taiwan Chinsan Electn Ind Co,2004/2/23,2004/2/23,TW0008042003,8042,3674,Taiwan Chinsan Electn Ind Co,taiwanchinsanel,Taiwan Chinsan Electronic Industrial,Taiwan Chinsan Electronic Industrial,TAIWAN CHINSAN ELT.INDL.,TW:THE,2004/3/22,28693Q,T8042,TW0008042003
Wayi Intl Digital Ent,2004/2/26,2004/2/26,TW0003086005,3086,7372,Wayi Intl Digital Ent,wayidigital,Wayi International Digital Entertainment,Wayi International Digital Entertainment,WAYI INTL.DIG.ENTM.,TW:WID,2004/3/29,28736X,T3086,TW0003086005
Tatung System Technologies Inc,2004/2/27,2004/2/27,TW0008099003,8099,7376,Tatung System Technologies Inc,tatungsystemtec,Tatung System Technologies,Tatung System Technologies,TATUNG SYSTEM TECHS.,TW:TTS,2004/3/29,28737E,T8099,TW0008099003
Prime View Intl Co Ltd,2004/3/1,2004/3/1,TW0008069006,8069,3679,Prime View Intl Co Ltd,primeiei,Prime Oil Chemical Service,Prime Oil Chemical Service,PRIME OIL CHEMICAL SER.,TW:PAN,1990/1/4,777113,T2904,TW0002904000
Youngtek Electronics Corp,2004/3/1,2004/3/1,TW0006261001,6261,3674,Youngtek Electronics Corp,youngtek,Youngtek Electronics,Youngtek Electronics,YOUNGTEK ELTN.,TW:YER,2004/3/29,28737D,T6261,TW0006261001
Taiwan Hopax Chem Mfg Co Ltd,2004/3/11,2004/3/11,TW0006509003,6509,2899,Taiwan Hopax Chem Mfg Co Ltd,taiwanhopaxchem,Taiwan Hopax Chemicals Manufacturing,Taiwan Hopax Chemicals Manufacturing,TAIWAN HOPAX CHEMS.MNFG.,TW:TOC,2004/4/12,28822V,T6509,TW0006509003
Advanced Power Electronics,2004/3/15,2004/3/15,TW0008261009,8261,3679,Advanced Power Electronics,advancedpower,Advanced Power Electronics,Advanced Power Electronics,ADVANCED POWER ELTN.,TW:DVE,2004/4/15,28839C,T8261,TW0008261009
Koan Hao Enterprise Co Ltd,2004/3/15,2004/3/15,TW0008354002,8354,2821,Koan Hao Enterprise Co Ltd,koanhaoenterpri,Koan Hao Enterprise,Koan Hao Enterprise,KOAN HAO ENTERPRISE,TW:AHE,2004/4/15,28839E,T8354,TW0008354002
Argosy Research Inc,2004/4/2,2004/4/2,TW0003217006,3217,3572,Argosy Research Inc,argosyresearch,Argosy Research,Argosy Research,ARGOSY RESEARCH,TW:AON,2004/4/30,28907W,T3217,TW0003217006
Taiwan Ostor Corp,2004/4/12,2004/4/12,TW0008080003,8080,3674,Taiwan Ostor Corp,taiwanostor,Taiwan Ostor,Taiwan Ostor,TAIWAN OSTOR,TW:TOS,2004/5/10,28922V,T8080,TW0008080003
Taiwan Wax Co Ltd,2004/4/16,2004/4/16,TW0001742005,1742,2899,Taiwan Wax Co Ltd,taiwanwax,Taiwan Wax,Taiwan Wax,TAIWAN WAX,TW:TWX,2004/5/14,28911J,T1742,TW0001742005
MetaTech(AP)Inc,2004/5/5,2004/5/5,TW0003224002,3224,5065,MetaTech(AP)Inc,metatech(ap),Metatech (AP),Metatech (AP),METATECH (AP),TW:MTT,2004/6/3,28922K,T3224,TW0003224002
Topower Computer Ind Co Ltd,2004/5/16,2004/5/16,TW0003226007,3226,3577,Topower Computer Ind Co Ltd,twecomputer,Jetwell Computer Company,Jetwell Computer Company,JETWELL COMPUTER CO.,TW:JET,2013/9/30,90410P,T3147,TW0003147005
Inpaq Technology Co Ltd,2004/5/31,2004/5/31,TW0006284003,6284,3674,Inpaq Technology Co Ltd,inpaq,Inpaq Technology,Inpaq Technology,INPAQ TECHNOLOGY,TW:IPQ,2004/6/29,29033C,T6284,TW0006284003
Arima Communications Corp,2004/6/1,2004/6/1,TW0008101007,8101,3663,Arima Communications Corp,arimacommunicat,Arima Communications,Arima Communications,ARIMA COMMUNICATIONS,TW:AMC,2004/7/1,28985K,T8101,TW0008101007
CoAsia Microelectronics Corp,2004/6/14,2004/6/14,TW0008096009,8096,3674,CoAsia Microelectronics Corp,coasiamicroelec,Coasia Microelectronics,Coasia Microelectronics,COASIA MICROELS.,TW:COA,2004/7/15,29092W,T8096,TW0008096009
Global Mixed-Mode Tech Inc,2004/8/3,2004/8/3,TW0008081001,8081,3679,Global Mixed-Mode Tech Inc,globalmixed-mod,Global Mixed-Mode Technology,Global Mixed-Mode Technology,GLOBAL MIXED-MODE TECH.,TW:GMM,2004/8/30,29301D,T8081,TW0008081001
Chen Full International Co Ltd,2004/8/10,2004/8/10,TW0008383001,8383,8711,Chen Full International Co Ltd,chenfull,Chen Full International,Chen Full International,CHEN FULL INTL.,TW:CUL,2004/9/10,29336C,T8383,TW0008383001
Termtek Computer Co Ltd,2004/8/20,2004/8/20,TW0003171005,3171,3571,Termtek Computer Co Ltd,tekcomputer,Asustek Computer,Asustek Computer,ASUSTEK COMPUTER,TW:ASU,1996/11/14,887467,T2357,TW0002357001
Giantplus Technology Co Ltd,2004/8/22,2004/8/22,TW0008105008,8105,3674,Giantplus Technology Co Ltd,giantplus,Giantplus Technology,Giantplus Technology,GIANTPLUS TECH.,TW:GPT,2004/9/17,29393C,T8105,TW0008105008
Pro-Hawk Corp,2004/8/24,2004/8/24,TW0008083007,8083,3562,Pro-Hawk Corp,pro-hawk,Pro-Hawk,Pro-Hawk,PRO-HAWK,TW:PRK,2004/9/23,29442X,T8083,TW0008083007
Optimum Care Intl Tech Inc,2004/8/27,2004/8/27,,3252,3674,Optimum Care Intl Tech Inc,omucaent,Compucase Enterprise,Compucase Enterprise,COMPUCASE ENTERPRISE,TW:CPE,2001/4/16,257306,T3032,TW0003032009
Crete Systems Inc,2004/9/1,2004/9/1,TW0003213005,3213,3674,Crete Systems Inc,ctesystem,Focaltech Systems,Focaltech Systems,FOCALTECH SYSTEMS,TW:ORS,2007/7/3,50761H,T3545,TW0003545000
Kitai Contractors Inc,2004/9/1,2004/9/1,TW0006402001,6402,1522,Kitai Contractors Inc,kitaicontrct,Kitai Construction and Development,Kitai Construction and Development,KITAI CON.& DEVELOPMENT,TW:KCI,2001/2/8,256615,T6402,TW0006402001
United Orthopedic Corp,2004/9/1,2004/9/1,TW0004129002,4129,3841,United Orthopedic Corp,unitedorthopedi,United Orthopedic,United Orthopedic,UNITED ORTHOPEDIC,TW:UOC,2004/9/29,29466X,T4129,TW0004129002
A-DATA Technology Co Ltd,2004/9/8,2004/9/8,TW0003260006,3260,3674,A-DATA Technology Co Ltd,adata,Adata Technology,Adata Technology,ADATA TECHNOLOGY,TW:AAA,2004/10/8,29343R,T3260,TW0003260006
Ocean Bright Co Ltd,2004/9/16,2004/9/16,TW0003266003,3266,2836,Ocean Bright Co Ltd,oceanbrg,Oceanic Beverages,Oceanic Beverages,OCEANIC BEVS.,TW:OCE,1989/7/3,777110,T1213,TW0001213007
Sentronic International Corp,2004/10/5,2004/10/5,TW0003232005,3232,3674,Sentronic International Corp,sentronic,Sentronic International,Sentronic International,SENTRONIC INTL.,TW:SNR,2004/11/1,29594N,T3232,TW0003232005
Star World Technology Corp,2004/10/5,2004/10/5,TW0008266008,8266,3679,Star World Technology Corp,starworld,Star World Technology,Star World Technology,STAR WORLD TECH.,TW:STR,2004/11/1,29602W,T8266,TW0008266008
Yao Sheng Electronic Co Ltd,2004/10/6,2004/10/6,TW0003207007,3207,3677,Yao Sheng Electronic Co Ltd,yaosheng,Yao Sheng Electronic,Yao Sheng Electronic,YAO SHENG ELECTRONIC,TW:YSE,2004/11/4,29564L,T3207,TW0003207007
Alcor Micro Corp,2004/10/12,2004/10/12,TW0008054008,8054,3674,Alcor Micro Corp,alcormicro,Alcor Micro,Alcor Micro,ALCOR MICRO,TW:ALC,2004/11/8,29637M,T8054,TW0008054008
Dynapack Intl Tech Corp,2004/10/12,2004/10/12,TW0003211009,3211,3691,Dynapack Intl Tech Corp,naacttec,Jinan Acetate Chemical,Jinan Acetate Chemical,JINAN ACETATE CHEMICAL,TW:JAT,2015/11/9,8717H0,T4763,KYG5138S1057
ABC Taiwan Electronics Corp,2004/11/3,2004/11/3,TW0003236006,3236,3678,ABC Taiwan Electronics Corp,abtaiwan,Abnova (Taiwan),Abnova (Taiwan),ABNOVA (TAIWAN),TW:ABN,2009/12/28,53812P,T4133,TW0004133004
Universal Vision Biotechnology,2004/11/3,2004/11/3,TW0003218004,3218,5047,Universal Vision Biotechnology,universalvision,Universal Vision Biotechnology,Universal Vision Biotechnology,UNIVERSAL VIS.BIOTECH.,TW:UNV,2004/11/29,29731X,T3218,TW0003218004
Applied Vacuum Coating Tech,2004/11/5,2004/11/5,TW0008077009,8077,3679,Applied Vacuum Coating Tech,appliedco,Applied Biocode,Applied Biocode,APPLIED BIOCODE,T:APB,2017/2/9,9013U1,T6598,KYG0488D1051
Taiwan Oasis Technology Co Ltd,2004/11/8,2004/11/8,TW0003066007,3066,3674,Taiwan Oasis Technology Co Ltd,taiwanoasis,Taiwan Oasis Technology,Taiwan Oasis Technology,TAIWAN OASIS TECHNOLOGY,TW:TAO,2004/12/2,29769M,T3066,TW0003066007
Acard Technology Corp,2004/11/9,2004/11/9,TW0003126009,3126,3674,Acard Technology Corp,acard,Dynacard,Dynacard,DYNACARD,TW:DNC,2005/10/31,32608C,T8351,TW0008351008
Dacome International Co Ltd,2004/11/9,2004/11/9,TW0009960005,9960,5091,Dacome International Co Ltd,dacome,Dacome International,Dacome International,DACOME INTERNATIONAL,TW:DIN,2004/12/6,29759P,T9960,TW0009960005
Phison Electronics Corp,2004/11/9,2004/11/9,TW0008299009,8299,3674,Phison Electronics Corp,phison,Phoenix Silicon International,Phoenix Silicon International,PHOENIX SILICON INTL.,TW:POS,2014/12/23,9264FH,T8028,TW0008028002
Health & Life Co Ltd,2004/11/24,2004/11/24,TW0001781003,1781,3845,Health & Life Co Ltd,healthlife,Health and Life,Health and Life,HEALTH & LIFE,TW:HLC,2004/12/24,29819K,T1781,TW0001781003
Topoint Technology Co Ltd,2004/11/24,2004/11/24,TW0008021007,8021,3674,Topoint Technology Co Ltd,topoint,Topco Scientific,Topco Scientific,TOPCO SCIENTIFIC,TW:TCO,2000/5/24,280861,T5434,TW0005434005
FuPo Electronics Corp,2004/11/25,2004/11/25,TW0008066002,8066,3674,FuPo Electronics Corp,fuos,Taiwan Fructose,Taiwan Fructose,TAIWAN FRUCTOSE,TW:TFC,2000/1/21,280203,T4207,TW0004207006
Thinflex Corp,2004/11/25,2004/11/25,TW0003144002,3144,3674,Thinflex Corp,thinflex,Thinflex,Thinflex,THINFLEX,TW:THF,2004/12/24,29850U,T3144,TW0003144002
Yen Sun Technology Corp,2004/11/25,2004/11/25,TW0006275001,6275,3634,Yen Sun Technology Corp,yensun,Yen Sun Technology,Yen Sun Technology,YEN SUN TECHNOLOGY,TW:YST,2004/12/23,29843E,T6275,TW0006275001
Integrated Service Tech Inc,2004/11/29,2004/11/29,TW0003289005,3289,3674,Integrated Service Tech Inc,integratedservi,Integrated Service Technology,Integrated Service Technology,INTEGRATED SERVICE TECH.,TW:IST,2004/12/28,29885F,T3289,TW0003289005
Unifosa Corp,2004/11/30,2004/11/30,TW0008277005,8277,3674,Unifosa Corp,unifosa,Unifosa,Unifosa,UNIFOSA,TW:UFA,2004/12/27,29885H,T8277,TW0008277005
Adda Corp,2004/12/1,2004/12/1,TW0003071007,3071,3564,Adda Corp,adda,Adda,Adda,ADDA,TW:ADD,2004/12/30,29895C,T3071,TW0003071007
Enermax Technology Corp,2004/12/6,2004/12/6,TW0008093006,8093,3577,Enermax Technology Corp,enermax,Enermax Technology,Enermax Technology,ENERMAX TECHNOLOGY,TW:ENT,2004/12/31,29904U,T8093,TW0008093006
ENG Electric Co Ltd,2004/12/7,2004/12/7,TW0008287004,8287,3679,ENG Electric Co Ltd,engelectric,English Electric,English Electric,ENG ELECTRIC,TW:ENG,2005/1/3,29917W,T8287,TW0008287004
Ardentec Corp,2004/12/8,2004/12/8,TW0003264008,3264,3674,Ardentec Corp,ardentec,Ardentec,Ardentec,ARDENTEC,TW:ARD,2005/1/5,29924E,T3264,TW0003264008
Yeu Hwan Technology Corp Ltd,2004/12/16,2004/12/16,TW0003276002,3276,3674,Yeu Hwan Technology Corp Ltd,yeuwan,Syneurx International (Taiwan),Syneurx International (Taiwan),SYNEURX INTERNATIONAL (TAIWAN),TW:SNU,2016/1/29,8866EW,T6575,TW0006575004
Thunder Tiger Corp,2004/12/22,2004/12/22,TW0008033002,8033,3674,Thunder Tiger Corp,thundertiger,Thunder Tiger,Thunder Tiger,THUNDER TIGER,TW:THR,2005/1/19,29966V,T8033,TW0008033002
Princo Corp,2004/12/27,2004/12/27,TW0008053000,8053,3695,Princo Corp,princo,Princeton Technology,Princeton Technology,PRINCETON TECH.,TW:PTC,2001/12/25,149009,T6129,TW0006129000
PCHome Online Inc,2004/12/30,2004/12/30,TW0008044009,8044,7375,PCHome Online Inc,pchomeonline,Pchome Online,Pchome Online,PCHOME ONLINE,TW:HNL,2005/1/24,29992R,T8044,TW0008044009
Higher Way Electronic Co Ltd,2004/12/31,2004/12/31,TW0003268009,3268,3674,Higher Way Electronic Co Ltd,higherway,Higher Way Electronic,Higher Way Electronic,HIGHER WAY ELECTRONIC,TW:HWE,2005/1/27,29998D,T3268,TW0003268009
Solar Applied Materials Tech,2005/1/1,2005/1/1,TW0001785004,1785,3674,Solar Applied Materials Tech,solarappliedmat,Solar Applied Materials Technology,Solar Applied Materials Technology,SOLAR APPD.MATS.TECH.,TW:SOA,2005/1/31,30064C,T1785,TW0001785004
Channel Well Technology Co Ltd,2005/1/6,2005/1/6,TW0003078002,3078,3674,Channel Well Technology Co Ltd,channelwell,Channel Well Technology,Channel Well Technology,CHANNEL WELL TECHNOLOGY,TW:CWT,2005/1/31,30082E,T3078,TW0003078002
Acme Electronics Corp,2005/1/15,2005/1/15,TW0008121005,8121,3674,Acme Electronics Corp,acmes,Abocom Systems,Abocom Systems,ABOCOM SYSTEMS,TW:ABO,2000/12/8,297067,T2444,TW0002444007
RDC Semiconductor Co Ltd,2005/1/25,2005/1/25,TW0003228003,3228,3674,RDC Semiconductor Co Ltd,rdcsemiconducto,RDC Semiconductor,RDC Semiconductor,RDC SEMICONDUCTOR,TW:RDS,2005/3/2,30186D,T3228,TW0003228003
Munsin Garment Corp,2005/2/2,2005/2/2,TW0002916004,2916,2254,Munsin Garment Corp,munsingarment,Munsin Garment,Munsin Garment,MUNSIN GARMENT,TW:MUN,2005/3/10,28930L,T2916,TW0002916004
Powertech Industrial Co Ltd,2005/2/16,2005/2/16,TW0003296000,3296,3674,Powertech Industrial Co Ltd,powertech,Powertech Technology,Powertech Technology,POWERTECH TECHNOLOGY,TW:POI,2003/4/3,26940W,T6239,TW0006239007
Jingo Digital Inc,2005/2/22,2005/2/22,TW0009946004,9946,3652,Jingo Digital Inc,gdigital,Gamania Digital Entertainment,Gamania Digital Entertainment,GAMANIA DIG.ENTM.,TW:GAM,2002/5/21,25532J,T6180,TW0006180003
Power Mate Technology Co Ltd,2005/2/22,2005/2/22,TW0008109000,8109,3674,Power Mate Technology Co Ltd,powermae,Powertip Image,Powertip Image,POWERTIP IMAGE,TW:POM,2015/1/27,9290WY,T6498,TW0006498009
Top High Image Corp,2005/2/22,2005/2/22,TW0003284006,3284,3559,Top High Image Corp,tophighimage,Top High Image,Top High Image,TOP HIGH IMAGE,TW:TOH,2005/3/22,30374P,T3284,TW0003284006
Info-Tek Corp,2005/3/1,2005/3/1,TW0008183005,8183,3674,Info-Tek Corp,info-tek,Information-Tek,Information-Tek,INFO-TEK,TW:IFT,2005/3/30,30394C,T8183,TW0008183005
Trust-Search Corp,2005/3/9,2005/3/9,TW0003115002,3115,3672,Trust-Search Corp,trust-search,Trust-Search,Trust-Search,TRUST-SEARCH,TW:STS,2005/4/8,30460K,T3115,TW0003115002
Cheer Time Enterprise Co Ltd,2005/3/11,2005/3/11,TW0003229001,3229,3674,Cheer Time Enterprise Co Ltd,cheertimeenterp,Cheer Time Enterprise,Cheer Time Enterprise,CHEER TIME ENTERPRISE,TW:RMT,2005/4/12,30460J,T3229,TW0003229001
Hold Jinn Electronics Co Ltd,2005/3/17,2005/3/17,TW0003191003,3191,3674,Hold Jinn Electronics Co Ltd,holdjinn,Hold Jinn Electronics,Hold Jinn Electronics,HOLD JINN ELECTRONICS,TW:HJE,2005/4/12,30493U,T3191,TW0003191003
Jintex Corp Ltd,2005/3/24,2005/3/24,TW0001787000,1787,2899,Jintex Corp Ltd,jintex,Jintex,Jintex,JINTEX,TW:JCL,2005/4/22,30717L,T1787,TW0001787000
Axiomtek Co Ltd,2005/3/31,2005/3/31,TW0003088001,3088,3577,Axiomtek Co Ltd,axiomtek,Axiomtek,Axiomtek,AXIOMTEK,TW:AXT,2005/4/28,30767Q,T3088,TW0003088001
King Slide Works Co Ltd,2005/3/31,2005/3/31,TW0002059003,2059,3674,King Slide Works Co Ltd,kingslideworks,King Slide Works,King Slide Works,KING SLIDE WORKS,TW:KSW,2005/4/28,29102C,T2059,TW0002059003
Chenbro Micom Co Ltd,2005/4/1,2005/4/1,TW0008210006,8210,3577,Chenbro Micom Co Ltd,chenbromicom,Chenbro Micom,Chenbro Micom,CHENBRO MICOM,TW:NBM,2005/4/28,30767U,T8210,TW0008210006
